Id	CommandLine
185	kubectl get pods -o wide
186	kubectl get svc
187	kubectl describe svc nginx-ingress-ingress-nginx-controller
188	kubectl get pods -o wide
189	kubectl delete pod -l app=app
190	kubectl get pods
191	kubectl describe svc nginx-ingress-ingress-nginx-controller
192	kubectl get pods
193	kubectl describe pod app-77fb794fcd-hkdnc
194	kubectl get pods
195	kubectl delete pod -l app=app
196	kubectl get pods
197	kubectl get pods
198	kubectl delete pod -l app=app
199	kubectl get pods
200	kubectl get pods
201	kubectl get pods
202	kubectl delete pod -l app=app
203	kubectl get pods
204	kubectl get pods
205	kubectl delete pod -l app=app
206	kubectl get pods
207	kubectl get pods
208	kubectl get pods
209	kubectl delete pod -l app=app
210	kubectl get pods
211	kubectl get pods
212	kubectl delete pod -l app=app
213	kubectl get pods
214	kubectl delete pod -l app=app
215	kubectl get pods
216	kubectl get pods
217	kubectl delete pod -l app=app
218	kubectl get pods
219	kubectl get pods
220	kubectl get pods
221	kubectl delete pod -l app=app
222	kubectl get pods
223	kubectl get pods
224	kubectl delete pod -l app=app
225	kubectl get pods
226	kubectl get pods
227	kubectl delete pod -l app=app
228	kubectl get pods
229	kubectl get pods
230	kubectl get pods
231	kubectl get pods
232	kubectl delete pod -l app=app
233	kubectl get pods
234	kubectl delete pod -l app=app
235	kubectl delete pod -l app=app
236	kubectl get pods
237	kubectl get pods
238	kubectl get pods
239	kubectl get pods
240	kubectl get pods
241	kubectl get pods
242	kubectl delete pod -l app=app
243	kubectl get pods
244	kubectl get pods
245	kubectl get pods
246	kubectl describe pod app-77fb794fcd-hkq24
247	kubectl get pods
248	kubectl get pods
249	kubectl get pods
250	kubectl get pods
251	kubectl delete pod -l app=app
252	kubectl get pods
253	kubectl get pods
254	kubectl get pods
255	kubectl delete pod -l app=app
256	kubectl get pods
257	kubectl get pods
258	kubectl get pods
259	kubectl get pods
260	kubectl delete pod -l app=app
261	kubectl get pods
262	kubectl exec -it app-77fb794fcd-smlxq sh
263	kubectl get pods -o wide
264	kubectl get pods
265	kubectl delete pod -l app=app
266	kubectl delete pod -l app=app1
267	kubectl get pods
268	kubectl get pods
269	kubectl get svc
270	kubectl delete pod -l app=app1
271	kubectl get pods
272	kubectl get svc
273	kubectl delete .\app1.yaml
274	ls
275	kubectl delete app1.yaml
276	kubectl get pods
277	kubectl get deploy
278	kubectl delete deploy app1
279	kubectl get pods
280	kubectl get pods
281	kubectl get svc
282	kubectl get svc
283	kubectl get pods
284	kubectl get pods
285	kubectl get svc
286	kubectl get pods
287	kubectl describe svc nginx-ingress-ingress-nginx-controller
288	kubectl get nodes -o wide
289	kubectl get nodes
290	kubectl get pods
291	kubectl get svc
292	ping -a 164.90.252.148
294	ping -a k8schallengevmora.com
295	kubectl get svc
296	kubectl get deploy
297	kubectl delete deploy app
298	kubectl get deploy
299	kubectl get svc
300	kubectl get pods
301	kubectl delete svc app
302	kubectl get pods
303	kubectl get pods
304	kubectl get svc
305	kubect get pods
306	kubectl get podes
307	kubectl get pods
308	kubectl get ns
309	kubectl get pods -n kube-system
310	kubectl get pods --all-namespaces
311	kubectl logs nginx-ingress-ingress-nginx-controller-55c8969595-g7hpc
312	kubectl logs -f nginx-ingress-ingress-nginx-controller-55c8969595-g7hpc
313	kubectl get deploy
314	kubectl delete -f .
315	kubectl get pods
316	kubectl get svc
317	kubectl get ingress
318	kubectl logs -f nginx-ingress-ingress-nginx-controller-55c8969595-g7hpc
319	kubectl edit ingres ingress
320	kubectl edit ingress ingress
321	kubectl get pods
322	kubectl delete pod app1-558db775b6-mh9j5
323	kubectl get pods
